ID Mahasiswa,Nama,total_login,materi_selesai,skor_kuis_rata2,partisipasi_forum,durasi_total_akses,status_akademik_terakhir,interaksi_mingguan,jumlah_tugas_dikumpulkan,frekuensi_kuis,aktivitas_mobile,dropout
MHS0001,Hani Pudjiastuti,43,91,40.45,6,58.6,IPK < 2.5,33,6,3,30.3,0
MHS0002,Arta Haryanto,33,51,80.93,1,93.4,IPK > 3.0,7,0,7,60.5,1
MHS0003,"Wadi Hariyah, S.Ked",19,70,46.42,2,85.2,IPK > 3.0,19,14,5,12.0,0
MHS0004,"Cut Latika Palastri, S.Sos",47,31,54.17,0,69.2,IPK < 2.5,23,0,7,67.7,0
MHS0005,Cagak Hidayanto,12,30,40.92,7,18.2,IPK > 3.0,17,0,3,51.1,0
MHS0006,Ghani Wasita,25,79,61.61,8,29.2,IPK < 2.5,25,7,6,58.5,0
MHS0007,"Tgk. Ifa Salahudin, S.Pt",43,10,82.01,3,88.2,IPK 2.5–3.0,31,3,5,60.6,0
MHS0008,dr. Teguh Kusumo,23,14,59.61,5,22.4,IPK 2.5–3.0,33,3,7,52.2,0
MHS0009,Tasdik Saragih,27,21,48.97,8,31.5,IPK < 2.5,24,12,4,56.6,0
MHS0010,"R. Yosef Pradana, S.Pd",15,99,77.68,5,17.3,IPK 2.5–3.0,29,1,7,64.7,0
MHS0011,Azalea Wibowo,15,55,79.44,8,69.2,IPK 2.5–3.0,10,10,5,70.2,0
MHS0012,"Elma Budiman, M.Farm",28,43,48.69,3,94.7,IPK < 2.5,6,10,2,68.2,0
MHS0013,Edi Waskita,40,58,78.54,7,30.6,IPK 2.5–3.0,26,10,1,79.6,1
MHS0014,Hafshah Prasetyo,44,87,87.36,8,50.2,IPK > 3.0,36,0,4,25.2,0
MHS0015,Elma Pratama,28,99,48.32,3,65.3,IPK > 3.0,20,11,4,42.1,0
MHS0016,"Ika Pranowo, S.Pt",7,54,78.55,4,99.9,IPK < 2.5,22,9,2,85.8,0
MHS0017,Citra Mardhiyah,26,36,75.43,7,15.0,IPK 2.5–3.0,9,8,5,41.7,0
MHS0018,"Ajiono Susanti, M.Kom.",6,82,63.68,9,52.4,IPK > 3.0,34,6,1,20.0,0
MHS0019,"Vicky Dabukke, S.H.",28,35,42.9,5,41.6,IPK > 3.0,23,3,4,52.0,1
MHS0020,Usyi Dabukke,48,56,43.73,6,87.3,IPK 2.5–3.0,27,11,1,18.8,1
MHS0021,Hairyanto Sitorus,34,95,82.62,2,50.2,IPK 2.5–3.0,38,5,4,26.2,1
MHS0022,Dian Wacana,42,65,89.51,6,15.5,IPK > 3.0,17,13,5,89.9,0
MHS0023,"R.A. Lidya Susanti, S.E.",6,72,73.8,7,65.3,IPK > 3.0,33,1,6,53.3,0
MHS0024,"dr. Paulin Marpaung, M.M.",25,57,62.3,9,78.2,IPK < 2.5,26,6,4,32.7,1
MHS0025,Darmana Sihombing,37,70,72.38,5,5.3,IPK < 2.5,13,1,6,89.6,0
MHS0026,Drs. Humaira Rahimah,16,90,69.72,9,86.6,IPK > 3.0,23,9,4,87.3,0
MHS0027,Dinda Yolanda,26,35,59.18,8,22.7,IPK < 2.5,10,7,3,45.3,0
MHS0028,Irma Suryatmi,48,45,43.28,5,57.4,IPK > 3.0,19,7,5,30.8,0
MHS0029,Puti Nurul Natsir,29,10,81.08,8,44.5,IPK > 3.0,24,0,2,77.1,0
MHS0030,Rina Uyainah,31,17,58.59,3,73.4,IPK < 2.5,13,12,6,67.2,0
MHS0031,Ophelia Yuliarti,46,61,80.94,7,40.3,IPK < 2.5,36,7,2,65.0,0
MHS0032,Ir. Maida Wahyuni,32,88,52.63,3,87.6,IPK 2.5–3.0,8,1,5,81.4,0
MHS0033,Among Damanik,20,56,40.05,1,74.4,IPK 2.5–3.0,22,5,7,65.2,0
MHS0034,Dr. Zahra Wibowo,19,65,47.95,9,66.5,IPK 2.5–3.0,9,12,2,32.7,0
MHS0035,Muni Saragih,48,95,63.43,8,80.6,IPK > 3.0,24,0,5,65.5,0
MHS0036,Dt. Rama Namaga,7,23,87.22,4,76.6,IPK < 2.5,27,4,2,34.5,0
MHS0037,Bala Saragih,41,99,45.11,3,8.4,IPK > 3.0,15,10,6,70.7,0
MHS0038,Rafi Lailasari,11,37,82.71,1,42.5,IPK < 2.5,26,6,3,59.6,0
MHS0039,"Daniswara Permata, S.H.",25,96,66.35,0,93.4,IPK > 3.0,8,12,2,16.2,0
MHS0040,Kasiyah Prasasta,13,87,81.3,6,16.9,IPK 2.5–3.0,33,9,6,51.0,0
MHS0041,Gatot Adriansyah,43,97,54.92,5,75.0,IPK 2.5–3.0,38,0,4,37.5,0
MHS0042,Karja Sinaga,22,11,82.0,1,97.6,IPK 2.5–3.0,17,14,5,36.3,0
MHS0043,Titin Budiman,8,35,78.64,7,10.0,IPK > 3.0,13,1,1,58.2,0
MHS0044,"H. Galar Irawan, M.Ak",29,23,51.5,3,69.8,IPK < 2.5,35,6,7,35.8,0
MHS0045,Ilsa Hartati,18,68,46.57,7,49.5,IPK < 2.5,11,5,1,72.2,0
MHS0046,T. Opan Novitasari,13,65,83.4,6,60.0,IPK 2.5–3.0,8,2,5,15.7,0
MHS0047,Karman Tarihoran,30,16,88.16,4,13.1,IPK 2.5–3.0,23,13,3,62.8,0
MHS0048,"H. Irnanto Manullang, S.Pt",6,12,41.57,9,9.1,IPK 2.5–3.0,34,9,2,74.7,0
MHS0049,Restu Farida,24,32,76.56,9,68.4,IPK 2.5–3.0,35,1,3,63.8,0
MHS0050,Hj. Kiandra Damanik,32,27,85.48,7,83.2,IPK < 2.5,39,9,1,49.8,0
MHS0051,Putri Suryono,11,47,82.87,8,79.3,IPK > 3.0,25,3,7,86.0,0
MHS0052,Drs. Elma Hastuti,48,24,88.23,4,56.7,IPK > 3.0,35,2,6,34.0,0
MHS0053,Zalindra Hutasoit,12,73,78.0,9,14.5,IPK > 3.0,23,6,7,11.5,1
MHS0054,Tina Hardiansyah,39,98,62.11,4,70.4,IPK > 3.0,35,7,5,44.6,0
MHS0055,Mahmud Zulkarnain,18,37,55.6,1,28.0,IPK 2.5–3.0,36,1,5,12.6,0
MHS0056,Oni Lailasari,21,83,56.04,4,91.6,IPK 2.5–3.0,6,9,3,86.3,0
MHS0057,Cut Yuni Tampubolon,40,48,76.22,2,84.6,IPK 2.5–3.0,14,6,6,26.8,1
MHS0058,Sutan Cayadi Mardhiyah,44,66,77.29,6,72.4,IPK > 3.0,6,7,3,73.1,0
MHS0059,Maya Maryati,8,26,50.02,9,95.1,IPK 2.5–3.0,6,5,2,72.0,1
MHS0060,Hardi Kurniawan,6,95,83.41,4,8.0,IPK 2.5–3.0,28,5,4,27.4,0
MHS0061,Dirja Astuti,10,99,75.75,7,74.9,IPK < 2.5,21,9,6,59.7,0
MHS0062,KH. Warsita Narpati,46,53,68.14,0,36.4,IPK < 2.5,36,0,4,13.8,0
MHS0063,Dalimin Prasasta,8,34,63.58,2,91.1,IPK 2.5–3.0,20,3,7,48.7,0
MHS0064,Hasan Nuraini,33,26,67.16,2,30.3,IPK < 2.5,20,13,2,11.2,0
MHS0065,Rina Permadi,22,22,47.96,8,73.9,IPK < 2.5,35,0,4,83.7,0
MHS0066,Latif Puspita,30,93,50.19,4,88.4,IPK 2.5–3.0,28,3,1,88.1,1
MHS0067,Edi Saputra,48,34,44.56,8,9.0,IPK 2.5–3.0,5,1,7,27.8,0
MHS0068,Winda Iswahyudi,38,77,47.68,8,42.8,IPK 2.5–3.0,15,10,4,26.6,0
MHS0069,Gasti Melani,14,19,62.68,0,77.4,IPK 2.5–3.0,25,12,2,70.3,0
MHS0070,"Ir. Jail Zulaika, M.Pd",40,76,66.52,1,48.2,IPK > 3.0,8,4,4,30.3,0
MHS0071,Ir. Nova Mangunsong,18,27,40.89,4,30.4,IPK > 3.0,11,9,5,81.6,0
MHS0072,Rafid Sihombing,35,95,79.84,3,25.9,IPK 2.5–3.0,30,13,3,55.9,1
MHS0073,"T. Mujur Mandasari, S.I.Kom",19,43,54.71,9,17.5,IPK < 2.5,16,8,1,38.1,0
MHS0074,Drs. Titi Budiman,12,17,85.59,8,86.4,IPK 2.5–3.0,35,10,5,76.6,0
MHS0075,Dodo Tarihoran,18,49,88.38,6,59.7,IPK 2.5–3.0,21,14,5,49.5,0
MHS0076,Pia Zulkarnain,27,92,49.27,5,12.3,IPK < 2.5,37,11,2,82.9,0
MHS0077,Kenari Mansur,44,51,63.1,6,41.3,IPK > 3.0,15,9,3,84.2,0
MHS0078,Zahra Firmansyah,25,50,40.06,0,39.9,IPK 2.5–3.0,32,2,3,23.2,0
MHS0079,"Dalima Purnawati, S.IP",20,15,69.92,0,22.3,IPK 2.5–3.0,36,7,6,10.2,0
MHS0080,"Drs. Warji Kuswoyo, M.M.",49,61,70.37,7,46.4,IPK > 3.0,5,2,7,88.7,0
MHS0081,"Bella Mulyani, S.Ked",22,35,52.38,1,36.5,IPK > 3.0,32,5,1,82.5,1
MHS0082,Elvina Riyanti,28,73,67.92,9,37.5,IPK < 2.5,11,3,7,14.4,1
MHS0083,Nadine Mansur,30,68,51.28,8,75.2,IPK > 3.0,6,7,2,76.6,0
MHS0084,Azalea Lazuardi,29,65,48.04,6,26.2,IPK > 3.0,28,10,1,46.6,0
MHS0085,Clara Oktaviani,49,68,72.58,5,66.0,IPK > 3.0,8,5,6,30.7,0
MHS0086,"drg. Lukita Budiman, S.E.I",45,79,56.3,0,59.2,IPK < 2.5,23,7,4,80.3,0
MHS0087,Chelsea Widodo,33,42,69.51,0,59.0,IPK > 3.0,30,0,5,25.7,0
MHS0088,Muhammad Lailasari,19,62,61.66,1,68.0,IPK > 3.0,15,5,1,85.8,0
